,Sample,Limo.ID,deltaCT,deltaCT_adj,Alb_CT,Dlp_CT
1,6122,C2025178.1,9.9959396,10.0723912639122,24.95606104,14.96012144
2,9400,C2025166.1,8.75774278,8.79519919114505,24.73843451,15.98069173
3,9154,C2025265.1,9.56917223,9.51680586926755,24.98540884,15.41623661
4,9262,C2025272.1,9.65774356,9.60537719926755,21.26798206,11.6102385
5,9270,C2025246.1,10.33119116,10.3881451975286,25.15973061,14.82853945
6,9378,C2025357.1,10.07031991,9.99845592288404,23.78107588,13.71075597
7,9386,C2025343.1,9.80920014,9.82715892476154,23.80014502,13.99094488
8,9394,C2025356.2,10.12171207,10.0693457092676,24.24879492,14.12708285
9,9402,C202481.1,10.18191567,10.1998744547615,23.94763378,13.76571811
10,9410,C2024127.1,9.4536873,9.53013896391209,25.48337554,16.02968824
11,10126,C2024139.1,9.25148114,9.26943992476154,23.95561616,14.70413502
12,9418,C2024133.1,9.63916155,9.62579044203458,25.00360438,15.36444283
13,9408,C2025162.1,9.23169622,9.30814788391208,25.74704638,16.51535016
14,10124,C2025300.1,9.75322885,9.70086248926755,24.57185527,14.81862642
15,9416,C2025202.1,9.34991106,9.29754469926755,25.59415116,16.2442401
16,7126,C202487.1,9.17984743,9.19780621476154,24.89434138,15.71449395
17,8135,C202463.2,10.38261157,10.4005703547615,24.21496998,13.83235841
18,8247,C2025171.1,10.49689502,10.4445286592675,24.35148056,13.85458554
19,9155,C2025253.1,10.01725245,9.94538846288404,24.79316031,14.77590786
20,9263,C2025296.1,9.66159129,9.69904770114506,23.3752572,13.71366591
21,9271,C2025235.1,9.93116313,9.87879676926755,25.51355551,15.58239238
22,9379,C2025213.1,9.93321378,9.86134979288404,25.88443175,15.95121797
23,9387,C202443.1,10.35536541,10.3928218211451,24.87343021,14.5180648
24,9395,C202433.1,9.80715262,9.84460903114505,22.10568538,12.29853276
25,9403,C2025187.1,10.03936448,10.0963185175286,24.87797952,14.83861504
26,9411,C2024119.1,10.17083961,10.098975622884,22.36039675,12.18955714
27,10127,C2024118.1,9.94779739,9.93442628203458,24.05085532,14.10305793
28,9419,C2025204.1,10.38430943,10.312445442884,24.85837755,14.47406812
29,7127,C2025163.1,9.97902411,9.94615537565107,24.78715584,14.80813173
30,8136,C202494.2,10.22830556,10.2344320784181,24.74202959,14.51372403
31,8248,C202444.2,11.14146546,11.2374147502956,23.56102963,12.41956417
32,9156,C2025253.3,9.89300762,9.86013888565107,25.20261889,15.30961127
33,9264,C2025237.2,9.52282526,9.47045889926755,25.01551824,15.49269298
34,9272,C2025280.1,9.37992095,9.30805696288404,22.51634199,13.13642104
35,9380,C2025332.2,9.52911327,9.49624453565106,22.62174227,13.092629
36,8132,C202459.1,9.76072062,9.77867940476154,24.20306872,14.4423481
37,9388,C202452.1,11.11770586,11.1356646447615,22.1671205,11.04941464
38,9396,C2025288.2,9.56792625,9.51555988926755,24.83372369,15.26579744
39,9404,C2024128.1,9.78325902,9.76988791203458,24.78008216,14.99682314
40,9412,C2025277.1,8.85216873,8.87012751476154,25.23902276,16.38685403
41,10128,C2025161.1,10.02006101,10.0575174211451,24.64812284,14.62806183
42,10120,C2025334.1,9.36266473,9.32979599565106,23.19882246,13.83615773
43,7128,C202477.1,10.02167132,10.0396301047615,24.21542101,14.19374969
44,8137,C2024111.1,9.91419055,9.86182418926755,24.26226604,14.34807549
45,8249,C202494.1,9.23513286,9.16326887288404,25.95542918,16.72029632
46,9157,C2025267.1,10.68482654,10.6519578056511,25.37843345,14.69360691
47,9265,C2025224.1,9.80703173,9.73516774288404,24.51323662,14.70620489
48,9273,C2025222.1,9.78882303,9.84577706752857,25.3924836,15.60366057
49,9389,C202442.1,9.81903926,9.87599329752857,21.80833949,11.98930023
50,9397,C202430.1,9.72609206,9.74405084476154,24.98689986,15.2608078
51,9405,C2025174.2,9.67546264,9.62309627926755,24.77840877,15.10294613
52,9413,C2024138.1,9.65538456,9.67334334476154,25.29062771,15.63524315
53,10129,C2025254.1,8.79575198,8.83320839114505,24.13092871,15.33517673
54,10121,C2025345.1,9.56699669,9.64344835391208,25.85202633,16.28502964
55,7230,C2024134.1,9.99889946,9.98552835203458,25.35386811,15.35496865
56,8138,C202499.1,9.6377578,9.58539143926755,23.91687902,14.27912122
57,9150,C2025169.1,9.70167568,9.73913209114505,24.32112895,14.61945327
58,9158,C2024142.2,9.01032436,9.0164508784181,25.37589835,16.36557399
59,9266,C2024144.1,9.89159501,9.94854904752857,24.79496488,14.90336987
60,9374,C2025156.3,9.47012674,9.54657840391208,23.21307398,13.74294724
61,9382,C2025208.2,9.52925764,9.47689127926755,22.8070894,13.27783176
62,9390,C2025328.1,9.94784929,9.93447818203458,23.99785078,14.05000149
63,9498,C2024111.2,9.94519299,9.96315177476154,24.35884155,14.41364856
64,9406,C2024115.1,9.14802239,9.07615840288404,24.87902159,15.7309992
65,9414,C202437.1,9.8523212,9.88977761114505,24.82746834,14.97514714
66,8141,C202479.3,9.90152061,9.95847464752857,24.71329846,14.81177785
67,10130,C2025273.1,9.85080004,9.81793130565107,23.30456835,13.45376831
68,10122,C2025301.1,10.07474499,10.0418762556511,25.83920858,15.76446359
69,7231,C2025149.1,10.08319237,10.0308260092676,23.58897917,13.5057868
70,8140,C2024112.1,9.06096778,9.04759667203458,21.67790396,12.61693618
71,9151,C2025150.1,10.36042956,10.288565572884,24.16879708,13.80836752
72,9159,C2025278.1,9.81662047,9.87357450752857,25.962153,16.14553253
73,9267,C2025274.1,10.11652295,10.1226494684181,21.87101457,11.75449162
74,9375,C2024121.2,9.48380321,9.4899297284181,24.85209755,15.36829434
75,9383,C2025305.1,9.78482006,9.86127172391208,25.23900459,15.45418453
76,9391,C2025283.1,10.13427718,10.1209060720346,24.17225723,14.03798005
77,9499,C202481.2,10.18203582,10.2194922311451,24.60396685,14.42193103
78,9407,C2024140.1,9.64648172,9.66444050476154,25.38473688,15.73825516
79,9415,C2024142.1,9.59368359,9.63114000114506,24.66075383,15.06707024
80,10131,C202484.1,9.72828306,9.67591669926755,23.70246357,13.97418051
81,10123,C202444.1,9.97800372,10.0154601311451,24.14228384,14.16428012
82,9152,C2024145.1,9.51200706,9.45964069926755,24.88075645,15.36874939
83,6224,C202488.1,10.62059202,10.6385508047615,23.50358042,12.8829884
84,9160,C2025206.1,9.63494607,9.67240248114505,23.88154398,14.24659791
85,8133,C2024125.2,9.78994762,9.84690165752857,24.29102998,14.50108236
86,8243,C202492.1,10.21551521,10.1826464756511,24.91977386,14.70425865
87,9153,C2025268.1,10.20444137,10.1520750092676,24.15575421,13.95131284
88,9161,C2025224.2,10.01589161,10.0923432739121,24.52516552,14.50927391
89,9269,C2025220.1,10.0625165,10.0804752847615,23.59705034,13.53453384
90,9377,C2025259.1,8.90207725,8.92003603476154,22.06278186,13.16070461
91,9385,C202417.1,8.67351591,8.73046994752857,24.9763431,16.30282719
92,9393,C2025255.1,9.70970657,9.72766535476154,23.78634285,14.07663628
93,9401,C2024103.1,8.34625047,8.42270213391208,20.77512325,12.42887278
94,9409,C2024129.1,9.40153118,9.36866244565107,25.19700805,15.79547687
95,9268,C2025238.1,10.01451699,9.98164825565106,25.31854399,15.304027
96,10125,C2025320.1,11.28903505,11.2366686892676,25.10701096,13.81797591
97,9417,C2025177.1,10.30955575,10.2766870156511,25.6809356,15.37137985
98,9376,C20242.2,9.85165056,9.88910697114505,25.48432017,15.63266961
99,9384,C2025172.1,9.58223247,9.61968888114505,25.20733601,15.62510354
100,6225,C2025164.1,9.55340287,9.50103650926755,23.50937127,13.9559684
101,8134,C202451.1,10.34224423,10.3602030147615,23.65825675,13.31601252
102,8244,C202447.2,9.98173544,10.0581871039121,23.00302339,13.02128795
