,Sample,deltaCT,Alb_CT,Dlp_CT
1,6122,9.9959396,24.95606104,14.96012144
2,9400,8.75774278,24.73843451,15.98069173
3,9154,9.56917223,24.98540884,15.41623661
4,9262,9.65774356,21.26798206,11.6102385
5,9270,10.33119116,25.15973061,14.82853945
6,9378,10.07031991,23.78107588,13.71075597
7,9386,9.80920014,23.80014502,13.99094488
8,9394,10.12171207,24.24879492,14.12708285
9,9402,10.18191567,23.94763378,13.76571811
10,9410,9.4536873,25.48337554,16.02968824
11,10126,9.25148114,23.95561616,14.70413502
12,9418,9.63916155,25.00360438,15.36444283
13,9408,9.23169622,25.74704638,16.51535016
14,10124,9.75322885,24.57185527,14.81862642
15,9416,9.34991106,25.59415116,16.2442401
16,Water,NA,NA,NA
17,7126,9.17984743,24.89434138,15.71449395
18,8135,10.38261157,24.21496998,13.83235841
19,8247,10.49689502,24.35148056,13.85458554
20,9155,10.01725245,24.79316031,14.77590786
21,9263,9.66159129,23.3752572,13.71366591
22,9271,9.93116313,25.51355551,15.58239238
23,9379,9.93321378,25.88443175,15.95121797
24,9387,10.35536541,24.87343021,14.5180648
25,9395,9.80715262,22.10568538,12.29853276
26,9403,10.03936448,24.87797952,14.83861504
27,9411,10.17083961,22.36039675,12.18955714
28,10127,9.94779739,24.05085532,14.10305793
29,9419,10.38430943,24.85837755,14.47406812
30,7127,9.97902411,24.78715584,14.80813173
31,8136,10.22830556,24.74202959,14.51372403
32,8248,11.14146546,23.56102963,12.41956417
33,9156,9.89300762,25.20261889,15.30961127
34,9264,9.52282526,25.01551824,15.49269298
35,9272,9.37992095,22.51634199,13.13642104
36,9380,9.52911327,22.62174227,13.092629
37,8132,9.76072062,24.20306872,14.4423481
38,9388,11.11770586,22.1671205,11.04941464
39,9396,9.56792625,24.83372369,15.26579744
40,9404,9.78325902,24.78008216,14.99682314
41,9412,8.85216873,25.23902276,16.38685403
42,10128,10.02006101,24.64812284,14.62806183
43,10120,9.36266473,23.19882246,13.83615773
44,7128,10.02167132,24.21542101,14.19374969
45,8137,9.91419055,24.26226604,14.34807549
46,8249,9.23513286,25.95542918,16.72029632
47,9157,10.68482654,25.37843345,14.69360691
48,9265,9.80703173,24.51323662,14.70620489
49,9273,9.78882303,25.3924836,15.60366057
50,9381,11.54993314,25.19575218,13.64581904
51,9389,9.81903926,21.80833949,11.98930023
52,9397,9.72609206,24.98689986,15.2608078
53,9405,9.67546264,24.77840877,15.10294613
54,9413,9.65538456,25.29062771,15.63524315
55,10129,8.79575198,24.13092871,15.33517673
56,10121,9.56699669,25.85202633,16.28502964
57,7230,9.99889946,25.35386811,15.35496865
58,8138,9.6377578,23.91687902,14.27912122
59,9150,9.70167568,24.32112895,14.61945327
60,9158,9.01032436,25.37589835,16.36557399
61,9266,9.89159501,24.79496488,14.90336987
62,9374,9.47012674,23.21307398,13.74294724
63,9382,9.52925764,22.8070894,13.27783176
64,9390,9.94784929,23.99785078,14.05000149
65,9498,9.94519299,24.35884155,14.41364856
66,9406,9.14802239,24.87902159,15.7309992
67,9414,9.8523212,24.82746834,14.97514714
68,8141,9.90152061,24.71329846,14.81177785
69,10130,9.85080004,23.30456835,13.45376831
70,10122,10.07474499,25.83920858,15.76446359
71,7231,10.08319237,23.58897917,13.5057868
72,8140,9.06096778,21.67790396,12.61693618
73,9151,10.36042956,24.16879708,13.80836752
74,9159,9.81662047,25.962153,16.14553253
75,9267,10.11652295,21.87101457,11.75449162
76,9375,9.48380321,24.85209755,15.36829434
77,9383,9.78482006,25.23900459,15.45418453
78,9391,10.13427718,24.17225723,14.03798005
79,9499,10.18203582,24.60396685,14.42193103
80,9407,9.64648172,25.38473688,15.73825516
81,9415,9.59368359,24.66075383,15.06707024
82,10131,9.72828306,23.70246357,13.97418051
83,10123,9.97800372,24.14228384,14.16428012
84,9152,9.51200706,24.88075645,15.36874939
85,6224,10.62059202,23.50358042,12.8829884
86,9160,9.63494607,23.88154398,14.24659791
87,8133,9.78994762,24.29102998,14.50108236
88,8243,10.21551521,24.91977386,14.70425865
89,9153,10.20444137,24.15575421,13.95131284
90,9161,10.01589161,24.52516552,14.50927391
91,9269,10.0625165,23.59705034,13.53453384
92,9377,8.90207725,22.06278186,13.16070461
93,9385,8.67351591,24.9763431,16.30282719
94,9393,9.70970657,23.78634285,14.07663628
95,9401,8.34625047,20.77512325,12.42887278
96,9409,9.40153118,25.19700805,15.79547687
97,9268,10.01451699,25.31854399,15.304027
98,10125,11.28903505,25.10701096,13.81797591
99,9417,10.30955575,25.6809356,15.37137985
100,9376,9.85165056,25.48432017,15.63266961
101,9384,9.58223247,25.20733601,15.62510354
102,9392,7.16792613,20.55143801,13.38351188
103,6225,9.55340287,23.50937127,13.9559684
104,8134,10.34224423,23.65825675,13.31601252
105,8244,9.98173544,23.00302339,13.02128795
